{'val_loss': [1.0411461547568992], 'val_acc': [0.7178819444444444], 'loss': [1.1482768406346173], 'acc': [0.6810576234788833], 'lr': [0.001]}
{'val_loss': [0.9952918644304629], 'val_acc': [0.7352430555555556], 'loss': [0.740187468436048], 'acc': [0.7882909587154417], 'lr': [0.001]}
{'val_loss': [0.6737604880774463], 'val_acc': [0.8188657407407407], 'loss': [0.6379705158681769], 'acc': [0.8180669120038881], 'lr': [0.001]}
{'val_loss': [0.7105035478318179], 'val_acc': [0.8035300925925926], 'loss': [0.5829513421792477], 'acc': [0.8320041162863862], 'lr': [0.001]}
{'val_loss': [0.6504405251255742], 'val_acc': [0.8211805555555556], 'loss': [0.5401954184457777], 'acc': [0.8433127146235456], 'lr': [0.001]}
{'val_loss': [0.6440033592559673], 'val_acc': [0.8240740740740741], 'loss': [0.5116731774433319], 'acc': [0.8506392545951343], 'lr': [0.001]}
{'val_loss': [0.553490001294348], 'val_acc': [0.8408564814814815], 'loss': [0.4850207492529148], 'acc': [0.8594422881175826], 'lr': [0.001]}
{'val_loss': [0.5988804946343104], 'val_acc': [0.8396990740740741], 'loss': [0.46656996476056667], 'acc': [0.8633013053551929], 'lr': [0.001]}
{'val_loss': [0.477402381323002], 'val_acc': [0.8648726851851852], 'loss': [0.44679457505633646], 'acc': [0.8690059395315445], 'lr': [0.001]}
{'val_loss': [0.5290650032736637], 'val_acc': [0.8573495370370371], 'loss': [0.4328460853202543], 'acc': [0.8727978434259036], 'lr': [0.001]}
